Country,Renewables,GDP
Algeria,0.297899425,3306.858208
Argentina,12.17941666,8585.694742
Australia,10.78981113,51680.31652
Austria,38.26066971,48588.65938
Azerbaijan,1.975831747,4229.910649
Bangladesh,0.65808183,2270.347535
Belarus,0.989724517,6555.426818
Belgium,10.63779068,45189.3669
Brazil,49.47188187,6814.875632
Bulgaria,10.69299698,10079.20338
Canada,30.5421505,43258.26387
Chile,26.55753136,13220.57076
China,14.24287224,10408.66976
Colombia,30.77278709,5312.198556
Croatia,25.17008781,14132.48656
Cyprus,5.661981106,27681.56641
Czechia,6.691049099,22933.49959
Denmark,37.27245331,61063.31643
Ecuador,36.03577423,5627.77228
Estonia,14.13836765,23054.35849
Finland,33.16851044,49160.83715
France,14.78874683,39037.12263
Germany,21.12282753,46252.6893
Greece,16.70769691,17647.23269
Hungary,5.816241741,16075.97327
Iceland,86.836586,59264.03409
India,9.730036736,1933.101069
Indonesia,9.860146523,3870.55762
Iraq,1.646885037,4583.747494
Ireland,20.54984283,85422.54287
Israel,4.053859234,44177.57122
Italy,19.72126198,31834.97262
Japan,11.15533924,39918.16756
Kazakhstan,3.900036335,9121.637138
Kuwait,0.036519468,24811.76971
Latvia,24.7689724,17703.95344
Lithuania,10.14476299,20232.30204
Luxembourg,6.848766804,116356.158
Malaysia,7.163172245,10412.34767
Mexico,9.475372314,8431.665017
Morocco,7.633952141,3058.69165
Netherlands,10.75895786,52396.03221
New Zealand,39.06418228,41596.5055
North America,11.51956272,61000.85526
North Macedonia,14.44130421,5846.465899
Norway,70.96305847,67329.67779
Oman,0.224002704,14485.38612
Pakistan,12.0210247,1359.514522
Peru,30.74422836,6117.493571
Philippines,11.04473019,3301.218603
Poland,7.769742012,15742.45373
Portugal,31.72391129,22194.56611
Qatar,0.075696632,50124.38594
Romania,17.57963943,12956.56625
Saudi Arabia,0.018463893,20203.66888
Singapore,0.309938848,60729.45035
Slovenia,19.16021538,25489.50023
South Africa,3.150245905,5655.867654
Spain,22.1026535,27056.42175
Sri Lanka,15.96742153,3694.040948
Sweden,51.05897141,52300.2062
Switzerland,36.21057129,87100.41482
Thailand,6.991420746,7158.766684
Trinidad and Tobago,0.007312009,15285.94049
Ukraine,4.896078587,3751.740723
United Arab Emirates,1.015035391,36284.55524
United Kingdom,20.07898712,41098.07865
United States,10.53223228,63027.67953
Uzbekistan,2.523421049,1749.655815
Vietnam,19.13666344,3526.274579
World,13.45519447,10936.05747
