Country,Year,Value
Austria,2000,10.2
Austria,2001,10.7
Austria,2002,10.8
Austria,2003,11.4
Austria,2004,11.3
Austria,2005,11.4
Austria,2006,11.1
Austria,2007,10.7
Austria,2008,10.6
Austria,2009,9.8
Austria,2010,10.3
Austria,2011,10
Austria,2012,9.7
Austria,2013,9.6
Austria,2014,9.2
Austria,2015,9.3
Austria,2016,9.4
Austria,2017,9.6
Austria,2018,9.2
Austria,2019,9.3
Austria,2020,8.4
Belgium,2000,15
Belgium,2001,14.7
Belgium,2002,14.6
Belgium,2003,14.6
Belgium,2004,14.6
Belgium,2005,14.2
Belgium,2006,13.9
Belgium,2007,13.5
Belgium,2008,13.4
Belgium,2009,12.1
Belgium,2010,12.7
Belgium,2011,11.6
Belgium,2012,11.2
Belgium,2013,11.1
Belgium,2014,10.6
Belgium,2015,10.9
Belgium,2016,10.8
Belgium,2017,10.7
Belgium,2018,10.7
Belgium,2019,10.6
Belgium,2020,9.5
Bulgaria,2000,7
Bulgaria,2001,7.5
Bulgaria,2002,7.4
Bulgaria,2003,8.1
Bulgaria,2004,8
Bulgaria,2005,8.2
Bulgaria,2006,8.3
Bulgaria,2007,8.9
Bulgaria,2008,8.8
Bulgaria,2009,7.7
Bulgaria,2010,8.1
Bulgaria,2011,8.9
Bulgaria,2012,8.2
Bulgaria,2013,7.7
Bulgaria,2014,8.2
Bulgaria,2015,8.7
Bulgaria,2016,8.5
Bulgaria,2017,9.1
Bulgaria,2018,8.7
Bulgaria,2019,8.6
Bulgaria,2020,7.2
Switzerland,2000,8
Switzerland,2001,8.2
Switzerland,2002,7.9
Switzerland,2003,7.9
Switzerland,2004,7.9
Switzerland,2005,7.9
Switzerland,2006,7.9
Switzerland,2007,7.6
Switzerland,2008,7.7
Switzerland,2009,7.4
Switzerland,2010,7.6
Switzerland,2011,7
Switzerland,2012,7.1
Switzerland,2013,7.1
Switzerland,2014,6.6
Switzerland,2015,6.5
Switzerland,2016,6.4
Switzerland,2017,6.3
Switzerland,2018,6.1
Switzerland,2019,6
Switzerland,2020,5.3
Cyprus,2000,13.2
Cyprus,2001,13.2
Cyprus,2002,13.3
Cyprus,2003,13.8
Cyprus,2004,13.8
Cyprus,2005,13.6
Cyprus,2006,13.8
Cyprus,2007,13.9
Cyprus,2008,13.9
Cyprus,2009,13.1
Cyprus,2010,12.4
Cyprus,2011,11.8
Cyprus,2012,11
Cyprus,2013,10.1
Cyprus,2014,10.7
Cyprus,2015,10.7
Cyprus,2016,11.4
Cyprus,2017,11.6
