Country,Year,Renewables,Happiness
Algeria,2021,0.261367351,4.887
Argentina,2021,11.32924938,5.929
Australia,2021,12.93353176,7.183
Austria,2021,37.48179245,7.268
Azerbaijan,2021,2.201542854,5.171
Bangladesh,2021,0.650146902,5.025
Belarus,2021,0.969857812,5.534
Belgium,2021,9.336408615,6.834
Brazil,2021,46.21974945,6.33
Bulgaria,2021,11.48652554,5.266
Canada,2021,29.88843918,7.103
Chile,2021,26.51887512,6.172
China,2021,14.94624424,5.339
Colombia,2021,33.02040863,6.012
Croatia,2021,28.27193451,5.882
Denmark,2021,39.24958038,7.62
Ecuador,2021,32.35419846,5.764
Egypt,2021,6.230570793,4.283
Estonia,2021,14.32504654,6.189
Finland,2021,34.61128998,7.842
France,2021,13.67101097,6.69
Germany,2021,19.45312119,7.155
Greece,2021,19.39167404,5.723
Hong Kong,2021,0.108698964,5.477
Hungary,2021,6.819572926,5.992
Iceland,2021,86.87453461,7.554
India,2021,9.310850143,3.819
Indonesia,2021,10.38571453,5.345
Iran,2021,1.29039371,4.721
Iraq,2021,1.502490997,4.854
Ireland,2021,17.58188438,7.085
Israel,2021,5.132294178,7.157
Italy,2021,18.36226082,6.483
Japan,2021,11.42899513,5.94
Kazakhstan,2021,3.988574028,6.152
Latvia,2021,23.91737175,6.032
Lithuania,2021,9.490350723,6.255
Luxembourg,2021,7.095166206,7.324
Malaysia,2021,8.059835434,5.384
Mexico,2021,10.5147543,6.317
Morocco,2021,7.636169434,4.918
Netherlands,2021,12.37379551,7.464
New Zealand,2021,40.21865082,7.277
North Macedonia,2021,14.8231802,5.101
Norway,2021,71.55836487,7.392
Pakistan,2021,10.62289715,4.934
Peru,2021,27.74100876,5.84
Philippines,2021,10.9016304,5.88
Poland,2021,7.761686325,6.166
Portugal,2021,32.70395279,5.929
Romania,2021,17.48103142,6.14
Russia,2021,6.620289326,5.477
Slovakia,2021,9.821160316,6.331
Slovenia,2021,18.7684536,6.461
South Africa,2021,3.40860796,4.956
South Korea,2021,3.724985838,5.845
Spain,2021,22.34166336,6.491
Sri Lanka,2021,21.40453339,4.325
Sweden,2021,50.92400742,7.363
Switzerland,2021,36.71664429,7.571
Taiwan,2021,3.036157131,6.584
Thailand,2021,7.113617897,5.985
Turkey,2021,16.51704407,4.948
Turkmenistan,2021,0.007483229,5.066
Ukraine,2021,6.100841522,4.875
United Kingdom,2021,17.94654274,7.064
United States,2021,10.6559906,6.951
Uzbekistan,2021,2.650678635,6.179
Venezuela,2021,28.43415451,4.892
Vietnam,2021,22.73440742,5.411
Algeria,2020,0.297899425,5.005
Argentina,2020,12.17941666,5.975
Australia,2020,10.78981113,7.223
Austria,2020,38.26066971,7.294
Azerbaijan,2020,1.975831747,5.165
Bangladesh,2020,0.65808183,4.833
Belarus,2020,0.989724517,5.54
Belgium,2020,10.63779068,6.864
Brazil,2020,49.47188187,6.376
Bulgaria,2020,10.69299698,5.102
Canada,2020,30.5421505,7.232
Chile,2020,26.55753136,6.228
China,2020,14.24287224,5.124
Colombia,2020,30.77278709,6.163
Croatia,2020,25.17008781,5.505
Cyprus,2020,5.661981106,6.159
Denmark,2020,37.27245331,7.646
Ecuador,2020,36.03577423,5.925
Egypt,2020,6.564623833,4.151
Estonia,2020,14.13836765,6.022
Finland,2020,33.16851044,7.809
France,2020,14.78874683,6.664
Germany,2020,21.12282753,7.076
Greece,2020,16.70769691,5.515
Hong Kong,2020,0.100735657,5.51
Hungary,2020,5.816241741,6
Iceland,2020,86.836586,7.504
India,2020,9.730036736,3.573
Indonesia,2020,9.860146523,5.286
Iran,2020,1.964350581,4.672
Iraq,2020,1.646885037,4.785
Ireland,2020,20.54984283,7.129
Israel,2020,4.053859234,7.129
Italy,2020,19.72126198,6.387
Japan,2020,11.15533924,5.871
Kazakhstan,2020,3.900036335,6.058
Kuwait,2020,0.036519468,6.102
Latvia,2020,24.7689724,5.95
Lithuania,2020,10.14476299,6.215
Luxembourg,2020,6.848766804,7.238
Malaysia,2020,7.163172245,5.384
Mexico,2020,9.475372314,6.465
Morocco,2020,7.633952141,5.095
Netherlands,2020,10.75895786,7.449
New Zealand,2020,39.06418228,7.3
North Macedonia,2020,14.44130421,5.16
Norway,2020,70.96305847,7.488
Pakistan,2020,12.0210247,5.693
Peru,2020,30.74422836,5.797
Philippines,2020,11.04473019,6.006
Poland,2020,7.769742012,6.186
Portugal,2020,31.72391129,5.911
Romania,2020,17.57963943,6.124
Russia,2020,7.069781303,5.546
Saudi Arabia,2020,0.018463893,6.406
Singapore,2020,0.309938848,6.377
Slovakia,2020,10.48075962,6.281
Slovenia,2020,19.16021538,6.363
South Africa,2020,3.150245905,4.814
South Korea,2020,3.142855406,5.872
Spain,2020,22.1026535,6.401
Sri Lanka,2020,15.96742153,4.327
Sweden,2020,51.05897141,7.353
Switzerland,2020,36.21057129,7.56
Taiwan,2020,2.7744627,6.455
Thailand,2020,6.991420746,5.999
Turkey,2020,19.15011024,5.132
Turkmenistan,2020,0.007161147,5.119
Ukraine,2020,4.896078587,4.561
United Arab Emirates,2020,1.015035391,6.791
United Kingdom,2020,20.07898712,7.165
United States,2020,10.53223228,6.94
Uzbekistan,2020,2.523421049,6.258
Venezuela,2020,30.13942337,5.053
Vietnam,2020,19.13666344,5.353
