Date,Urals,EU Carbon Permits
23/11/2022,67.01,75.87
22/11/2022,70.76,73.89
21/11/2022,65.05,74.61
18/11/2022,70.12,72.47
17/11/2022,73.03,72.4
16/11/2022,73.14,73.41
15/11/2022,75.27,76.65
14/11/2022,76.59,75.23
11/11/2022,77.8,75.84
10/11/2022,75.83,73.05
09/11/2022,75.83,72.76
08/11/2022,80.37,76.06
07/11/2022,82.78,77.49
04/11/2022,80.02,76.36
03/11/2022,77.37,76.28
02/11/2022,78.4,76.7
01/11/2022,76.73,76.72
31/10/2022,75.04,79.97
28/10/2022,75.81,81.21
27/10/2022,75.8,80.21
26/10/2022,74.31,75.79
25/10/2022,73.14,77.11
24/10/2022,72.95,72.32
21/10/2022,72.57,68.72
20/10/2022,74.17,66.87
19/10/2022,71.09,67.29
18/10/2022,69.92,67.77
17/10/2022,72.57,67.51
14/10/2022,74.44,68.02
13/10/2022,75.91,68.84
12/10/2022,75.05,66.71
11/10/2022,76.5,66.34
10/10/2022,79.51,66.77
07/10/2022,80.06,69.85
06/10/2022,76.91,68.96
05/10/2022,75.95,67.07
04/10/2022,75.31,66.92
03/10/2022,71.61,65.94
30/09/2022,70.4,66.73
29/09/2022,71.02,65.73
28/09/2022,70.01,65.15
27/09/2022,67.37,67.96
26/09/2022,65.7,70.33
23/09/2022,66.39,65.77
22/09/2022,72.17,70.44
21/09/2022,71.12,69.79
20/09/2022,70.71,71.14
19/09/2022,71.81,71.1
16/09/2022,71.81,73.27
15/09/2022,70.55,71.85
14/09/2022,74.74,72.54
13/09/2022,73.04,69.75
12/09/2022,75.38,71.82
09/09/2022,71.98,66.08
07/09/2022,69.78,69.03
06/09/2022,73.14,69.88
05/09/2022,75.99,74.45
02/09/2022,75.79,77.89
01/09/2022,74.02,80.79
31/08/2022,78.14,80.03
30/08/2022,81.45,80.81
29/08/2022,80.77,86.66
26/08/2022,80.77,90.31
25/08/2022,81.95,89.31
24/08/2022,79.8,89.24
23/08/2022,80.18,89.29
22/08/2022,74.85,92.17
19/08/2022,78.07,98.01
18/08/2022,77.51,96.04
17/08/2022,77.92,95.8
16/08/2022,67.08,92.08
15/08/2022,68.16,90.78
12/08/2022,74.52,88.87
11/08/2022,77.5,87.55
10/08/2022,74.27,85.92
09/08/2022,75.8,85.93
08/08/2022,74.42,83.81
05/08/2022,72.18,84.76
04/08/2022,68.88,84.19
03/08/2022,74.74,83.99
02/08/2022,77.4,81.95
01/08/2022,76.54,80.58
29/07/2022,82.81,78.55
28/07/2022,81.34,78.96
27/07/2022,80.86,76.14
26/07/2022,79.42,76.68
25/07/2022,78.8,76.37
22/07/2022,79.79,76.3
21/07/2022,84.2,78.11
20/07/2022,86.53,78.84
19/07/2022,84.33,83.65
18/07/2022,88.02,84.94
15/07/2022,83.89,85.38
14/07/2022,75.39,83.97
13/07/2022,78.14,83.86
12/07/2022,79.22,85.65
11/07/2022,85.15,84.36
08/07/2022,84.87,82.79
07/07/2022,85.29,84.92
06/07/2022,79.76,83.22
05/07/2022,81.48,83.19
04/07/2022,92.87,84.55
01/07/2022,89.53,85.58
30/06/2022,90.99,90.16
29/06/2022,93.92,88.35
28/06/2022,92.34,87.4
27/06/2022,90.62,85.05
24/06/2022,89.2,83.43
23/06/2022,86.73,84.13
22/06/2022,85.82,81.88
21/06/2022,89.63,84.73
20/06/2022,88.91,84
17/06/2022,91.35,82.37
16/06/2022,94.82,83
15/06/2022,98.24,86.2
14/06/2022,101.75,84.15
13/06/2022,98.01,81.54
10/06/2022,97.79,81.86
09/06/2022,100.2,81.01
08/06/2022,99.23,79.81
07/06/2022,97.53,81.31
06/06/2022,95.94,81.43
03/06/2022,96.73,86.87
02/06/2022,96.5,86.34
01/06/2022,94.53,86.08
31/05/2022,98.03,84.02
30/05/2022,92.83,83.97
27/05/2022,90.75,84.2
26/05/2022,90.71,84.76
25/05/2022,87.13,81.4
24/05/2022,86.84,81.32
23/05/2022,86.13,78.15
20/05/2022,84.45,80.39
19/05/2022,82.22,83.18
18/05/2022,81.61,84.64
17/05/2022,86.75,91.72
16/05/2022,84.13,89.56
13/05/2022,82.32,88.48
12/05/2022,79.68,88.26
11/05/2022,78.71,88.83
10/05/2022,75.24,87.34
09/05/2022,78.08,87.02
06/05/2022,85.71,91.54
05/05/2022,83.51,88.91
04/05/2022,79.94,88.31
03/05/2022,76.99,88.19
02/05/2022,79.41,83.04
29/04/2022,79.41,84.45
28/04/2022,75.68,82.68
27/04/2022,73.38,81.01
26/04/2022,73.01,82.71
25/04/2022,67.91,83.46
22/04/2022,76.4,88.99
21/04/2022,78.01,86.44
20/04/2022,76.28,87.82
19/04/2022,76.61,80.2
18/04/2022,78.15,79.97
14/04/2022,78.15,79.97
13/04/2022,77.54,77.44
12/04/2022,76.15,79.01
11/04/2022,69.53,77.95
08/04/2022,70.89,80.09
07/04/2022,69.8,79.94
06/04/2022,75.04,77.18
05/04/2022,78.07,78.05
04/04/2022,79.72,78.5
01/04/2022,81.83,78.49
31/03/2022,82.91,76.48
30/03/2022,90.45,78.31
29/03/2022,86.92,81.7
28/03/2022,90.24,80.81
25/03/2022,97.81,78.6
24/03/2022,99.89,78.24
23/03/2022,101.81,76.6
22/03/2022,95.51,80.67
21/03/2022,95.3,78.39
18/03/2022,88.44,78.89
17/03/2022,87.77,79.89
16/03/2022,80.77,78.16
15/03/2022,82.1,77.43
14/03/2022,85.03,78.28
11/03/2022,91.73,76.76
10/03/2022,93.73,76.41
09/03/2022,101.88,73.18
08/03/2022,111.01,68.51
07/03/2022,105.23,58.3
04/03/2022,94.5,65.1
03/03/2022,98.77,67.35
02/03/2022,101.9,68.49
01/03/2022,98.29,68.85
28/02/2022,94.28,82.21
25/02/2022,91.85,88.14
24/02/2022,94.99,87.03
23/02/2022,94.99,95.07
22/02/2022,94.43,89.77
21/02/2022,95.55,89.68
18/02/2022,92.78,89.47
17/02/2022,91.88,86.44
16/02/2022,95.83,89.86
15/02/2022,95.54,91.14
14/02/2022,97.59,91.76
11/02/2022,93.71,92.87
10/02/2022,95.34,90.78
09/02/2022,94.51,90.79
08/02/2022,94.57,96.93
07/02/2022,96.9,96.7
04/02/2022,96.26,96.45
03/02/2022,90.86,94.81
02/02/2022,89.65,94.21
01/02/2022,90.47,89.52
31/01/2022,92.04,89.24
28/01/2022,92.78,89.22
27/01/2022,91.4,89.76
26/01/2022,91.73,88.66
25/01/2022,88.59,87.45
24/01/2022,86.98,84.02
21/01/2022,89.08,84.47
20/01/2022,90.09,85.59
19/01/2022,89.61,82.09
18/01/2022,87.88,82.67
17/01/2022,87.14,80.58
14/01/2022,85.19,82.08
13/01/2022,84.49,80.56
12/01/2022,84.57,80.01
11/01/2022,83.14,81.3
10/01/2022,80.56,80.09
07/01/2022,81.03,85.42
06/01/2022,80.89,86.74
05/01/2022,79.57,87.58
04/01/2022,77.62,84.91
03/01/2022,76.61,84.01
31/12/2021,76.8,80.65
30/12/2021,76.86,80.16
29/12/2021,76.21,80.36
28/12/2021,73.46,79.29
27/12/2021,73.46,76.92
23/12/2021,74.06,74.46
22/12/2021,72.41,76.83
21/12/2021,70.81,80.94
20/12/2021,67.28,79.38
17/12/2021,71.61,73.28
16/12/2021,73.37,84.77
15/12/2021,71.23,80.5
14/12/2021,71.95,79.48
13/12/2021,72.97,82.12
10/12/2021,72.91,83.73
09/12/2021,73.55,80.2
08/12/2021,74.42,88.88
07/12/2021,74.51,84.91
06/12/2021,70.65,81.25
03/12/2021,70.48,78.25
02/12/2021,68.97,79.86
01/12/2021,70.55,76.81
30/11/2021,69.34,75.37
29/11/2021,73.35,74.21
26/11/2021,71.6,72.78
25/11/2021,80.45,74.46
24/11/2021,81.37,72.91
23/11/2021,81.51,69.17
22/11/2021,79.75,69.91
19/11/2021,78.18,69.36
18/11/2021,80.43,69.1
17/11/2021,80.27,67.16
16/11/2021,81.16,67.55
15/11/2021,79.57,65.93
12/11/2021,81.23,63.27
11/11/2021,81.38,63.7
10/11/2021,82.69,63.16
09/11/2021,82.5,60.41
08/11/2021,82.03,60.63
05/11/2021,81.1,59.39
04/11/2021,80.24,59.86
03/11/2021,80.52,59.82
02/11/2021,83.05,59.46
01/11/2021,83.1,56.94
29/10/2021,82.1,58.71
28/10/2021,81.51,58.57
27/10/2021,83.1,59.9
26/10/2021,83.78,59.81
25/10/2021,83.45,58.99
