Date,GRA Purchases,PRGT 1/2/,Totals,Year,Totals_billions,,Country Name,World,World gddp billions,credit_outstanding
08/31/2022,93769635059,15254184552,1.09024E+11,2022,109.0238196,,2021,9.61001E+13,96100091005,1.13448E-09
12/31/2021,89474552025,14554823681,1.04029E+11,2021,104.0293757,,2020,8.49068E+13,84906814189,1.22522E-09
12/31/2020,93408630285,12481816684,1.0589E+11,2020,105.890447,,2019,8.76529E+13,87652863216,1.20807E-09
12/31/2019,66945509865,6590835450,73536345315,2019,73.53634532,,2018,8.6413E+13,86413032779,8.50987E-10
12/31/2018,55395611392,6426181029,61821792421,2018,61.82179242,,2017,8.1404E+13,81403977427,7.59444E-10
12/31/2017,39585385873,6522280669,46107666542,2017,46.10766654,,2016,7.64656E+13,76465590005,6.02986E-10
12/31/2016,49267630851,6482647937,55750278788,2016,55.75027879,,2015,7.51793E+13,75179266271,7.41565E-10
12/31/2015,50757840741,6575911158,57333751899,2015,57.3337519,,2014,7.97088E+13,79708812241,7.1929E-10
12/31/2014,69041563463,6292755583,75334319046,2014,75.33431905,,2013,7.76072E+13,77607198470,9.70713E-10
12/31/2013,83899249061,6174392682,90073641743,2013,90.07364174,,2012,7.54881E+13,75488064175,1.19322E-09
12/31/2012,90042348252,5766292503,95808640755,2012,95.80864076,,2011,7.38538E+13,73853784046,1.29727E-09
12/31/2011,87276915790,5308609594,92585525384,2011,92.58552538,,2010,6.65961E+13,66596051014,1.39026E-09
12/31/2010,55620104510,4819344134,60439448644,2010,60.43944864,,2009,6.08091E+13,60809111827,9.93921E-10
12/31/2009,37221142436,5079705286,42300847722,2009,42.30084772,,2008,6.41237E+13,64123704273,6.59676E-10
12/31/2008,17514964723,3972372030,21487336753,2008,21.48733675,,2007,5.8355E+13,58355015092,3.68217E-10
12/31/2007,6036146757,3796945581,9833092338,2007,9.833092338,,2006,5.17798E+13,51779845590,1.89902E-10
12/31/2006,9822640239,3844020520,13666660759,2006,13.66666076,,2005,4.77797E+13,47779714795,2.86035E-10
12/31/2005,28432143237,6282121668,34714264905,2005,34.71426491,,2004,4.41176E+13,44117601127,7.86857E-10
12/31/2004,55373766674,6766029353,62139796027,2004,62.13979603,,2003,3.9147E+13,39146988389,1.58735E-09
12/31/2003,65032062712,6880893268,71912955980,2003,71.91295598,,2002,3.49114E+13,34911427050,2.05987E-09
12/31/2002,63601058794,6868671012,70469729806,2002,70.46972981,,2001,3.36154E+13,33615435967,2.09635E-09
12/31/2001,53477225409,6424578684,59901804093,2001,59.90180409,,2000,3.38309E+13,33830878800,1.77063E-09
12/31/2000,42990531049,6331595468,49322126517,2000,49.32212652,,1999,3.27374E+13,32737374969,1.5066E-09
12/31/1999,51061861875,6434274362,57496136237,1999,57.49613624,,1998,3.154E+13,31539957902,1.82296E-09
12/31/1998,60451017051,6288825925,66739842976,1998,66.73984298,,1997,3.16204E+13,31620443663,2.11065E-09
12/31/1997,46559033783,6009867422,52568901205,1997,52.56890121,,1996,3.17367E+13,31736660050,1.65641E-09
12/31/1996,36127472805,5881609752,42009082557,1996,42.00908256,,1995,3.10436E+13,31043647879,1.35323E-09
12/31/1995,35929173412,5657438528,41586611940,1995,41.58661194,,1994,2.78723E+13,27872255132,1.49204E-09
12/31/1994,25611676952,4599768498,30211445450,1994,30.21144545,,1993,2.5822E+13,25821978923,1.16999E-09
12/31/1993,25196745031,3942792899,29139537930,1993,29.13953793,,1992,2.54061E+13,25406106106,1.14695E-09
12/31/1992,23967172718,3804463796,27771636514,1992,27.77163651,,1991,2.37596E+13,23759572450,1.16886E-09
12/31/1991,23378573926,3285717796,26664291722,1991,26.66429172,,1990,2.278E+13,22779978683,1.17051E-09
12/31/1990,20731851093,2571911617,23303762710,1990,23.30376271,,1989,2.0194E+13,20194003804,1.15399E-09
12/31/1989,22315104224,2334886562,24649990786,1989,24.64999079,,1988,1.9338E+13,19337997470,1.27469E-09
12/31/1988,24750004884,1773964293,26523969177,1988,26.52396918,,1987,1.73072E+13,17307238004,1.53254E-09
12/31/1987,28751979125,1866342930,30618322055,1987,30.61832206,,1986,1.52053E+13,15205315531,2.01366E-09
12/31/1986,33334905644,2013169931,35348075575,1986,35.34807558,,1985,1.28601E+13,12860094462,2.74866E-09
12/31/1985,35194787249,2470247948,37665035197,1985,37.6650352,,1984,1.22698E+13,12269792365,3.06974E-09
12/31/1984,34936772393,2769874900,37706647293,1984,37.70664729,,,,,
